"items_address","items_catid","items_city","items_country","items_cutDescription","items_date","items_description","items_id","items_lat","items_lng","items_multimedia","items_readmore","items_state","items_street","items_title","items_zip"
"AIIMS Campus Rd, AIIMS Campus, Saket Nagar, Habib Ganj, 462026 Bhopal, Madhya Pradesh , India","15","Bhopal","India","All India Institute of Medical Sciences (AIIMS), AIIMS Campus Rd, Saket Nagar, Habib Ganj, Bhopal,...","2020-03-23 03:54:04","All India Institute of Medical Sciences (AIIMS), AIIMS Campus Rd, Saket Nagar, Habib Ganj, Bhopal, Madhya Pradesh 462026","66","23.207355","77.457809","","/index.php/testing-facilities/15-government-laboratories/66-all-india-institute-of-medical-sciences-aiims-bhopal","Madhya Pradesh ","AIIMS Campus Rd, AIIMS Campus, Saket Nagar, Habib Ganj"," All India Institute of Medical Sciences (AIIMS), Bhopal","462026"
"9th Floor, ASHA Building, IDA Scudder Road, 632004 Vellore, Tamil Nadu, India","16","Vellore","India","Department of Clinical Virology, Christian Medical College, 9th Floor, ASHA Building, IDA Scudder...","2020-03-23 08:07:39","Department of Clinical Virology, Christian Medical College, 9th Floor, ASHA Building, IDA Scudder Road, Christian Medical College, Vellore, Tamil Nadu, India Pin 632004","117","12.924607","79.132622","","/index.php/testing-facilities/16-private-laboratories/117-christian-medical-college-vellore","Tamil Nadu","9th Floor, ASHA Building, IDA Scudder Road"," Christian Medical College, Vellore","632004"
" Type III, President's Estate, 110001 New Delhi, Delhi, India","15","New Delhi","India"," Ram Manohar Lohia Hospital, Type III, President's Estate, New Delhi, Delhi 110001","2020-03-23 09:07:28"," Ram Manohar Lohia Hospital, Type III, President's Estate, New Delhi, Delhi 110001","122","28.625759","77.198448","","/index.php/testing-facilities/15-government-laboratories/122-ram-manohar-lohia-hospital-new-delhi","Delhi"," Type III, President's Estate"," Ram Manohar Lohia Hospital, New Delhi","110001"
" 3, High Ground Rd, Palayamkottai, 627011 Tirunelveli, Tamil Nadu, India","15","Tirunelveli","India","Tirunelveli Medical College, 3, High Ground Rd, Palayamkottai, Tirunelveli, Tamil Nadu 627011","2020-03-23 05:49:35","Tirunelveli Medical College, 3, High Ground Rd, Palayamkottai, Tirunelveli, Tamil Nadu 627011","93","8.711757","77.748627","","/index.php/testing-facilities/15-government-laboratories/93-tirunelveli-medical-college-tirunelveli","Tamil Nadu"," 3, High Ground Rd, Palayamkottai"," Tirunelveli Medical College, Tirunelveli","627011"
" CTS No 809, F.P. 147, Nayantara Building, 411004 Pune, Maharashtra, India","16","Pune","India","A.G Diagnostics Pvt Ltd, CTS No 809, F.P. 147, Nayantara Building, Bhandarkar Road, Pune,...","2020-03-24 08:26:48","A.G Diagnostics Pvt Ltd, CTS No 809, F.P. 147, Nayantara Building, Bhandarkar Road, Pune, Maharashtra 411004","153","18.51881","73.82872","","/index.php/testing-facilities/16-private-laboratories/153-a-g-diagnostics-pvt-ltd-pune","Maharashtra"," CTS No 809, F.P. 147, Nayantara Building","A.G Diagnostics Pvt Ltd,  Pune","411004"
"Great Eastern Rd, AIIMS Campus, Tatibandh, 492099 Raipur, Chhattisgarh , India","15","Raipur","India","All India Institute of Medical Science (AIIMS), Great Eastern Rd, AIIMS Campus, Tatibandh, Raipur,...","2020-03-22 20:26:47","All India Institute of Medical Science (AIIMS), Great Eastern Rd, AIIMS Campus, Tatibandh, Raipur, Chhattisgarh 492099","31","21.2568","81.579193","","/index.php/testing-facilities/15-government-laboratories/31-all-india-institute-of-medical-science-aiims-raipur","Chhattisgarh ","Great Eastern Rd, AIIMS Campus, Tatibandh","All India Institute of Medical Science (AIIMS), Raipur","492099"
"near Aiims hospital, Sijua, Patrapada, , 751019 Bhubaneswar, , Odisha , India","15","Bhubaneswar, ","India","All India Institute of Medical Sciences (AIIMS), Near AIIMS hospital, Sijua, Patrapada,...","2020-03-24 14:29:06","All India Institute of Medical Sciences (AIIMS), Near AIIMS hospital, Sijua, Patrapada, Bhubaneswar, Odisha 751019","162","20.231129","85.775108","","/index.php/testing-facilities/15-government-laboratories/162-all-india-institute-of-medical-sciences-aiims-bhubaneswar","Odisha ","near Aiims hospital, Sijua, Patrapada, ","All India Institute of Medical Sciences (AIIMS), Bhubaneswar","751019"
"Basni Industrial Area, MIA 2nd Phase, Basni, , 342005 Jodhpur, Rajasthan, India","15","Jodhpur","India","All India Institute of Medical Sciences (AIIMS), Basni Industrial Area, MIA 2nd Phase, Basni,...","2020-03-23 07:12:01","All India Institute of Medical Sciences (AIIMS), Basni Industrial Area, MIA 2nd Phase, Basni, Jodhpur, Rajasthan 342005","107","26.240667","73.004997","","/index.php/testing-facilities/15-government-laboratories/107-all-india-institute-of-medical-sciences-aiims-jodhpur","Rajasthan","Basni Industrial Area, MIA 2nd Phase, Basni, ","All India Institute of Medical Sciences (AIIMS), Jodhpur","342005"
"Sri Aurobindo Marg, Ansari Nagar, Ansari Nagar East, , 110029 New Delhi,, Delhi , India","15","New Delhi,","India","All India Institute of Medical Sciences (AIIMS), Sri Aurobindo Marg, Ansari Nagar East, New Delhi,...","2020-03-22 20:32:23","All India Institute of Medical Sciences (AIIMS), Sri Aurobindo Marg, Ansari Nagar East, New Delhi, Delhi 110029","32","28.567045","77.209892","","/index.php/testing-facilities/15-government-laboratories/32-all-india-institute-of-medical-sciences-aiims-new-delhi","Delhi ","Sri Aurobindo Marg, Ansari Nagar, Ansari Nagar East, ","All India Institute of Medical Sciences (AIIMS), New Delhi","110029"
"Virbhadra Road Shivaji Nagar, near Barrage, Sturida Colony , 249203 Rishikesh,  Uttarakhand, India","15","Rishikesh","India","All India Institute of Medical Sciences (AIIMS), Virbhadra Road Shivaji Nagar, near Barrage,...","2020-03-22 20:34:36","All India Institute of Medical Sciences (AIIMS), Virbhadra Road Shivaji Nagar, near Barrage, Sturida Colony, Rishikesh, Uttarakhand 249203","34","30.078964","78.283882","","/index.php/testing-facilities/15-government-laboratories/34-all-india-institute-of-medical-sciences-aiims-rishikesh"," Uttarakhand","Virbhadra Road Shivaji Nagar, near Barrage, Sturida Colony ","All India Institute of Medical Sciences (AIIMS), Rishikesh","249203"
