items_address,items_city,items_lat,items_lng,items_state,items_title,items_zip,items_dist,items_traveltime
"AIIMS Campus Rd, AIIMS Campus, Saket Nagar, Habib Ganj, 462026 Bhopal, Madhya Pradesh , India",Bhopal,23.207355,77.457809,Madhya Pradesh ," All India Institute of Medical Sciences (AIIMS), Bhopal",462026,0,0
"9th Floor, ASHA Building, IDA Scudder Road, 632004 Vellore, Tamil Nadu, India",Vellore,12.924607,79.132622,Tamil Nadu," Christian Medical College, Vellore",632004,0,0
" Type III, President's Estate, 110001 New Delhi, Delhi, India",New Delhi,28.625759000000002,77.198448,Delhi," Ram Manohar Lohia Hospital, New Delhi",110001,0,0
" 3, High Ground Rd, Palayamkottai, 627011 Tirunelveli, Tamil Nadu, India",Tirunelveli,8.711757,77.748627,Tamil Nadu," Tirunelveli Medical College, Tirunelveli",627011,0,0
" CTS No 809, F.P. 147, Nayantara Building, 411004 Pune, Maharashtra, India",Pune,18.518810000000002,73.82871999999999,Maharashtra,"A.G Diagnostics Pvt Ltd,  Pune",411004,0,0
"Great Eastern Rd, AIIMS Campus, Tatibandh, 492099 Raipur, Chhattisgarh , India",Raipur,21.2568,81.579193,Chhattisgarh ,"All India Institute of Medical Science (AIIMS), Raipur",492099,0,0
"near Aiims hospital, Sijua, Patrapada, , 751019 Bhubaneswar, , Odisha , India","Bhubaneswar, ",20.231129,85.77510799999999,Odisha ,"All India Institute of Medical Sciences (AIIMS), Bhubaneswar",751019,0,0
"Basni Industrial Area, MIA 2nd Phase, Basni, , 342005 Jodhpur, Rajasthan, India",Jodhpur,26.240667,73.004997,Rajasthan,"All India Institute of Medical Sciences (AIIMS), Jodhpur",342005,0,0
"Sri Aurobindo Marg, Ansari Nagar, Ansari Nagar East, , 110029 New Delhi,, Delhi , India","New Delhi,",28.567045,77.20989200000001,Delhi ,"All India Institute of Medical Sciences (AIIMS), New Delhi",110029,0,0
"Virbhadra Road Shivaji Nagar, near Barrage, Sturida Colony , 249203 Rishikesh,  Uttarakhand, India",Rishikesh,30.078964000000003,78.28388199999999, Uttarakhand,"All India Institute of Medical Sciences (AIIMS), Rishikesh",249203,0,0
"Kanchi Gachibowli Rd, Nallagandla, Serilingampally, 500019 Hyderabad, Telangana , India",Hyderabad,17.4706,78.311401,Telangana ,"AMERICAN Institute of Pathology and Laboratory Sciences Private Limited, Hyderabad",500019,0,0
"58, Canal Circular Road, 700054 Kolkata, West Bengal, India",Kolkata,22.574793,88.384064,West Bengal,"Apollo Gleneagles Hospitals, Kolkata",700054,0,0
"NOS, 140/A, 140/B, 140/C, 141/A, 141/B, 141/C, Thokatta Village, 500011 Secunderabad, Telangana, India",Secunderabad,17.469124,78.48214,Telangana,"Apollo Health and Lifestyle Limited-Secunderabad, Diagnostics Laboratory, Hyderabad",500011,0,0
